,CVP_INTAKE_EC,MIDR_INTAKE_EC,OLDR_CCF_EC,ROLD024_EC,RSAC054_EC,RSAC081_EC,RSAC092_EC,RSAN007_EC,RSAN018_EC,SLMZU003_EC,SLMZU011_EC,VICT_INTAKE_EC
2/6/1922,622.8599243,519.3098145,569.9943848,340.9824829,10961.47266,459.3041077,210.723999,399.8499756,302.4565125,4172.157715,958.4863281,581.9381714
2/7/1922,608.4526978,504.4749756,561.0996094,341.6251526,11019.43066,545.526001,215.7664795,381.1444092,304.9718628,3787.532227,815.8440552,559.4676514
2/8/1922,600.5819092,495.0638123,555.4074707,343.7708435,10843.26563,691.0203857,221.8500824,385.6478577,307.9229431,3598.966553,730.0558472,541.5792236
2/9/1922,618.2404175,500.3358765,581.8793945,346.8896484,10088.79199,676.5297241,221.2842712,377.0966797,303.711792,3303.488281,718.246582,554.1235352
2/10/1922,633.6098633,505.5471497,599.2722778,351.3551941,9599.507813,650.1531982,222.5097504,365.3038025,298.3692017,3007.992432,744.7356567,571.8394165
2/11/1922,662.0990601,513.4898682,634.0024414,356.8612366,8551.283203,447.4491272,216.2867432,329.5383606,291.2513733,2564.695068,705.8392334,589.8170166
2/12/1922,672.072998,518.9213867,639.0655518,363.9956055,8191.007324,372.4263916,215.0314331,307.3684998,290.0987549,2284.699219,634.3382568,614.7207642
2/13/1922,669.7359619,511.4163818,633.8334351,366.4692993,7806.604004,359.1690063,215.9595337,296.5056458,289.7737122,2065.507568,528.4464111,598.6422119
2/14/1922,665.6434326,510.3822021,629.2233276,366.8347168,7202.813965,339.4291687,215.6465759,291.7897949,289.3813171,1895.592773,458.6563416,587.5408325
2/15/1922,660.7183838,509.197937,628.3684692,365.2590332,6949.010254,340.2441711,215.5665741,288.5724487,289.3722534,1737.142944,418.8265381,577.4816284
2/16/1922,655.3034058,507.2406616,627.8544312,362.5368958,6665.935059,346.260498,214.9671021,288.3019104,288.7904663,1591.130005,394.3930969,564.7567749
2/17/1922,651.6281128,507.156189,628.4676514,360.8623352,6528.277832,333.0967712,213.1035156,289.9013367,287.8420715,1482.800903,379.1485291,560.3931274
2/18/1922,649.7698364,511.0185547,623.8625488,360.7452087,6439.940918,304.6206055,211.4872742,290.7670898,287.8996277,1380.660156,374.3791199,576.5270996
2/19/1922,630.5112305,502.4161377,599.8140869,356.469696,6763.13916,320.003418,212.2867126,287.7124329,288.1160278,1301.371948,366.1187744,567.7043457
2/20/1922,636.1478271,506.5915833,600.0252686,355.4897766,6603.07959,290.5154114,210.9967194,287.2786255,287.8977661,1214.905396,360.0641479,573.8026123
2/21/1922,640.7450562,505.0564575,599.8244629,354.7791748,6605.471191,277.7848816,210.6170349,285.0339661,288.5214539,1179.203735,357.7773438,578.9324341
2/22/1922,650.5674438,503.0353394,611.5836792,355.5573425,6512.565918,261.1600342,210.7281952,285.2370911,288.201416,1113.424438,340.0357666,589.3045044
2/23/1922,648.7744141,498.7945251,611.7870483,355.4830322,6606.893066,263.5125732,211.4707794,281.3029175,288.739563,1089.002563,327.4866333,579.78479
2/24/1922,641.8862915,497.0407104,605.3170166,354.362854,6471.296875,276.7225647,212.4687805,278.0303955,288.7433167,1080.917236,317.1315918,565.5926514
2/25/1922,652.5338745,502.6016846,616.8509521,355.5350037,6191.02002,265.2171326,212.0671082,282.4427795,287.4481506,1031.875244,314.5056152,582.6191406
2/26/1922,654.93396,502.1463623,618.7926636,355.786438,6084.50293,264.0980835,211.8614807,282.9008789,287.3563232,1005.825012,313.4732971,584.812439
2/27/1922,661.0647583,502.1761475,623.5744629,357.1586914,5841.967773,254.7509613,211.5511627,286.4849548,287.032196,953.9469604,307.3738098,589.2766724
2/28/1922,668.5352783,506.019104,625.9238281,359.0921631,5732.474121,246.1557007,211.2091217,289.5175781,287.4120483,886.5568237,304.0324402,594.3900146
3/1/1922,684.1123047,502.8999023,642.3445435,357.298584,5887.22168,245.780777,211.4640961,289.0108948,287.6165771,887.1452026,308.1139221,588.022583
3/2/1922,673.7362671,490.9223633,632.6115112,353.0083923,6274.551758,251.6353302,212.0159607,285.1809692,286.6106567,1009.66333,329.2606201,554.1970215
3/3/1922,572.8432007,487.1453247,520.9877319,349.1888733,6576.757324,262.6774597,211.2039948,282.112793,285.0552368,1158.698975,364.564209,540.3708496
3/4/1922,534.3707275,482.2314148,510.1912842,346.1472473,7065.949219,268.1604309,208.80159,282.1121216,282.4785461,1267.917603,399.2445984,532.8577881
3/5/1922,518.5681763,479.3818054,507.2473755,344.9234314,7402.909668,259.4441223,205.4319763,285.4378662,280.4472351,1313.566772,422.0033875,520.4718018
3/6/1922,516.5841675,475.3555908,503.5035706,343.544281,7714.150879,253.1641083,203.9253082,284.1085205,279.0435181,1330.24707,444.2138062,513.3727417
3/7/1922,512.6161499,472.1784363,495.8561707,341.0301208,8061.742188,255.0509796,203.7950592,278.7432861,278.1296692,1376.963867,472.778717,503.7994385
3/8/1922,509.4842834,472.2774658,492.8851624,339.3075867,8373.691406,260.0272217,204.434082,274.6500854,276.6402893,1454.07605,506.7297363,501.0784607
3/9/1922,505.3757324,476.4186401,491.0222168,336.434021,8653.000977,286.9048767,206.1358337,268.8101196,275.2163696,1603.331665,570.7788086,500.8343506
3/10/1922,503.6738586,482.4695435,491.6871033,333.0195923,8692.345703,334.6485596,207.9373016,267.1471863,273.7109985,1882.35376,648.0897827,504.3182068
3/11/1922,502.9777832,482.7519531,492.5809021,328.6400757,8672.905273,452.9412537,211.4898529,276.9012451,272.4862671,2225.729004,757.7233276,506.6236267
3/12/1922,514.9296875,485.0396729,502.8612366,329.6398315,8439.082031,383.7052612,209.2394714,275.839386,267.8491821,2248.761719,786.4697876,516.9391479
3/13/1922,517.6774292,483.6707458,506.8055115,331.4911194,8499.417969,360.7376709,208.3591614,272.9685974,265.6999207,2266.624756,833.4485474,526.7508545
3/14/1922,516.8914185,479.6555786,505.0886536,330.9458008,8729.613281,407.1781921,210.3005676,274.304657,264.7635193,2429.538574,937.1303101,516.7852783
3/15/1922,514.1138306,479.1652222,499.9330139,328.5020142,8819.308594,474.5726013,211.8522797,282.3337097,263.5207214,2632.060547,1049.682495,505.8295898
3/16/1922,512.302063,480.3065796,497.6323853,326.2624512,8699.302734,525.9180298,213.2955627,294.335968,261.7975159,2819.932129,1167.271118,507.0114136
3/17/1922,511.4136353,484.1126099,504.0047607,327.4655151,8437.392578,431.1955872,208.1777496,284.8152466,259.8162231,2745.19165,1183.445801,512.0733643
3/18/1922,515.5220337,484.817627,506.2370605,329.9039307,8611.973633,350.7046204,203.9478455,272.6566772,259.1140137,2586.010986,1187.811157,522.9389648
3/19/1922,514.4295044,480.4924622,503.3238525,329.6694641,8690.34082,323.000946,202.5660248,266.4898376,258.8045654,2498.974121,1228.39856,517.9255981
3/20/1922,508.3849792,478.7692261,494.5772705,327.2608032,8847.746094,337.9277344,202.566864,264.420929,258.1616516,2540.942627,1294.826782,506.2746887
3/21/1922,503.9049683,480.638855,488.2589417,324.7157593,8724.074219,336.903656,201.4528656,263.1220703,257.4399109,2567.672363,1339.081543,503.7286987
3/22/1922,505.3452148,480.1000061,489.2440491,322.33255,8548.022461,324.9994812,200.0402374,261.176239,256.4676514,2538.06543,1362.623047,509.6780701
3/23/1922,504.6426697,476.9942322,490.8346252,319.8209534,8684.777344,331.5220642,200.0835571,258.9827576,255.5774994,2554.503418,1408.687988,510.4960632
3/24/1922,507.9070435,476.7492371,494.2580872,318.798584,8389.933594,326.7799988,199.9596863,259.1608276,254.6760101,2557.376709,1420.110107,507.8877563
3/25/1922,506.7923584,475.259613,493.7250977,317.2234192,8668.802734,329.6330566,200.581665,258.3121643,253.5783386,2586.244385,1457.70813,511.4978027
3/26/1922,506.0593262,474.6067505,492.7009888,315.021637,8514.813477,357.6026611,201.3104858,260.3631897,253.1660004,2667.008789,1507.574951,504.4367676
3/27/1922,510.6091919,476.7810059,495.0032654,314.5167542,8560.232422,336.388916,200.5016327,258.9917603,251.9459686,2677.297852,1511.074219,508.5820313
3/28/1922,509.3073425,476.0429382,495.7968445,313.6862793,8569.789063,350.5113831,200.8209076,259.1794434,251.5353699,2711.982422,1546.927979,507.993042
3/29/1922,509.1931458,475.2088318,494.2553406,312.9439392,8624.168945,361.286438,201.2136536,259.9440002,251.13237,2740.316406,1571.703369,505.9997864
3/30/1922,512.1062622,477.0084229,494.6295471,313.5141296,8909.591797,351.6459045,200.7922668,258.8796387,251.0286255,2749.571533,1579.235718,512.0615845
3/31/1922,507.4110107,475.4768677,494.5187073,312.8258972,8895.319336,395.7718201,201.6914063,262.7719421,250.7135925,2842.012695,1613.321655,506.0941162
4/1/1922,510.365509,476.8378906,496.704834,313.750824,8668.269531,350.3571167,199.9326782,260.5619812,250.3026581,2811.912354,1555.369385,508.1887817
4/2/1922,468.7987671,479.466156,433.2817383,316.70224,8685.707031,311.1256714,198.1352692,255.731842,250.3763275,2683.33374,1510.419434,514.8613892
4/3/1922,382.2601929,474.7401733,377.5859985,319.3663635,8680.691406,300.6951904,197.4951477,252.0732422,250.636795,2578.190918,1498.469238,517.4118652
4/4/1922,359.3007202,465.2812805,377.4099731,323.7901611,8348.114258,271.9696655,195.9177856,248.8667603,251.0140381,2457.684326,1481.209839,498.5837097
4/5/1922,354.4313049,462.6317749,375.1781616,327.8854065,8278.207031,248.5809326,194.8557892,246.396347,251.6138916,2337.150879,1440.929688,480.4242554
4/6/1922,359.3731384,461.2220459,380.6737061,329.7571411,8054.885254,256.9848633,195.3412323,243.2036285,252.1035919,2279.045898,1427.065796,465.5071716
4/7/1922,354.0589905,462.110321,373.7633057,333.127655,7680.580566,255.178299,195.4628601,243.4457703,252.6531525,2222.880371,1398.687622,462.2469177
4/8/1922,354.8153992,463.5198059,372.4997253,335.8888245,7662.044922,266.2857666,196.5405273,243.3162689,253.6713257,2189.678955,1398.83606,460.7421875
4/9/1922,351.2565918,464.8680115,368.2183533,341.968689,7612.679199,257.6336975,197.2337646,246.0412445,255.5584412,2149.110596,1375.064453,461.272522
4/10/1922,354.2832947,465.7451477,372.1076965,344.07547,7682.202637,278.4786682,199.1848602,245.7880096,256.8101196,2177.418945,1376.014526,460.8627014
4/11/1922,354.0535583,465.1323853,370.8259583,346.0386047,7846.733398,299.1557922,200.1583099,247.7085114,257.7531433,2224.117188,1387.020386,462.7222595
4/12/1922,358.1178894,462.1133423,374.1380005,343.1436462,7962.044434,364.120575,202.5174561,252.044632,257.0777283,2386.660889,1437.581055,463.7658386
4/13/1922,354.3087463,457.9723511,365.2564697,345.0143127,7822.571777,353.7818298,201.8644257,256.3693237,257.6590576,2426.939697,1433.557739,463.5267029
4/14/1922,352.0641174,453.8950195,367.1526794,346.651947,7866.11377,340.7025452,201.2465668,255.9145966,258.1139221,2415.422607,1430.166382,460.4411926
4/15/1922,353.696106,449.6991882,364.9028625,347.2831116,7632.51123,316.2777405,200.1616669,255.0928497,258.0995178,2358.503174,1435.385132,457.1167603
4/16/1922,350.7087708,446.3601074,363.0272522,349.2554626,7551.466309,282.3901062,198.627594,252.5588837,257.8332214,2242.753174,1422.570557,454.6438904
4/17/1922,348.9484558,443.7919312,365.0275879,350.7388306,7310.895996,256.2390137,196.8108368,250.8610077,257.4539795,2112.046143,1391.768066,452.2105713
4/18/1922,351.8720703,439.5286865,373.9106445,347.2364807,7151.022949,250.1266174,195.762085,248.9346313,256.5935364,2019.430298,1387.621582,449.882019
4/19/1922,353.5243835,434.5994263,378.5946045,341.2510986,6903.452148,248.8490448,194.872757,246.9663544,255.0209351,1974.202759,1383.867676,447.8554993
4/20/1922,352.7903442,430.8358765,377.0909729,337.3381042,6567.219727,245.414093,193.6137695,247.6687317,253.1965332,1953.904175,1365.273071,444.8956604
4/21/1922,352.4058838,427.2776184,374.9378357,333.9342651,6424.765625,244.1168213,192.9450226,248.2710266,251.5022888,1926.838135,1342.141724,441.6428833
4/22/1922,351.7688599,424.4195557,370.276825,331.8245239,6613.135254,240.0871277,192.9441223,249.0669556,249.6930237,1901.801514,1319.824707,438.7754822
4/23/1922,353.0187073,420.4186707,370.2265625,328.3374329,6819.647949,244.2325745,193.5266876,248.1045532,248.5574493,1900.55835,1309.478638,436.1248169
4/24/1922,353.6239014,415.9347534,369.3432312,323.9838867,7007.181152,254.7645111,193.8212585,247.0115967,247.221283,1929.554932,1316.188232,432.7155457
4/25/1922,353.5581055,411.5889893,366.1031799,319.9201355,7084.489258,273.1695557,194.3568268,246.6526794,246.0718536,2000.479736,1323.271973,428.9545288
4/26/1922,351.5240479,408.4196472,363.0308838,317.9665222,7186.8125,277.6708984,194.1225281,246.7394562,244.8297119,2028.302612,1318.503174,425.4875183
4/27/1922,350.0280457,405.5179138,360.8791809,317.5057373,7381.358887,271.7007446,193.9404907,245.443161,243.7228699,2015.693726,1314.758667,423.0765991
4/28/1922,352.3072815,401.1642151,362.2008667,313.803894,7483.395508,292.4400635,194.6676788,243.9614105,242.8817596,2063.44751,1322.664307,420.0911255
4/29/1922,352.2423096,397.3644104,360.1604004,311.4100647,7494.412598,302.0246582,194.5547638,243.8809052,241.6757507,2107.757813,1324.721069,416.1676025
4/30/1922,350.5191345,395.1377258,357.7835999,311.0303955,7208.61377,278.1187744,192.6685181,241.7520905,240.4019623,2058.993164,1293.06665,413.2798767
5/1/1922,350.7217407,392.1801453,355.3582764,310.1264038,6693.714355,249.7840118,189.6881866,237.28302,239.0352631,1941.711426,1248.567139,411.7134705
5/2/1922,346.2385559,387.5281067,347.116333,306.9961548,5691.998535,224.0640411,186.1345673,233.3599091,236.9846344,1771.530518,1187.268433,408.7756348
5/3/1922,333.1571045,384.0877075,338.682373,305.2680054,4716.886719,205.2415009,183.6092682,231.7330627,234.4056091,1563.86377,1093.508301,404.4935608
5/4/1922,328.852478,380.6555786,338.9449768,303.3184204,4003.230957,198.5755615,182.1935883,230.2896423,231.797226,1361.053223,997.6870728,400.4445801
5/5/1922,330.1595154,376.8403625,340.0636292,299.5773621,3549.137695,195.4647064,181.1416779,227.7045288,228.9671173,1216.501587,919.0910034,395.579071
5/6/1922,332.381897,373.3187561,339.3486938,294.5901489,3329.898926,193.3603363,180.5615997,225.358963,226.1633911,1085.020508,857.0626221,390.1713562
5/7/1922,328.3363647,371.6195679,335.4281616,292.0679932,3190.869141,192.0796509,180.3940125,225.4577332,223.5090942,989.434021,795.5020142,386.6714478
5/8/1922,328.4490662,369.0922546,333.3850098,288.5470886,3189.977783,192.4701996,180.6322632,222.5137939,221.2685852,902.7285767,738.9812012,385.6096497
5/9/1922,328.3778381,365.9677124,332.8443298,284.3257446,3205.644531,193.2401123,180.7250977,219.3778992,219.2201385,850.2824707,690.2469482,382.5780029
5/10/1922,324.0084839,365.4102783,327.7045593,285.085968,3119.205078,192.6289978,180.6161957,219.3332214,217.1022949,793.088623,622.2489014,380.8263855
5/11/1922,323.6092834,363.1184692,328.1091614,284.237793,3229.732178,192.6708679,180.5656281,216.0614777,215.3564301,722.5940552,580.6613159,381.4587402
5/12/1922,325.1330566,358.9257202,331.2718811,280.34198,3295.903564,192.2824402,180.4048615,212.2931519,214.0166626,697.2357788,552.2624512,379.4113464
5/13/1922,326.6604004,354.9078979,330.6874695,276.2059326,3249.317383,191.3551025,180.2908173,210.3755188,212.5796814,701.8601074,523.2335205,374.4876099
5/14/1922,325.5226135,351.3908691,329.0591736,272.5208435,3149.812256,190.1783295,180.0951691,208.4180756,211.1448975,689.6894531,500.8441467,370.7301636
5/15/1922,324.8392639,347.6315613,327.2742615,268.5786743,3067.588135,189.1615143,179.7928772,206.8786011,209.7671967,663.4539185,473.8430481,367.6269836
5/16/1922,320.8098145,345.1354065,326.4906616,267.3288879,2903.130127,187.8537903,179.3847809,207.3355255,208.2115326,609.9697876,441.5042419,365.5127563
5/17/1922,319.0128479,343.8715515,328.2153931,266.7015991,2757.987061,187.1833496,178.9615631,207.3507843,207.1563873,555.0957031,407.0436401,365.2142639
5/18/1922,321.3110352,339.388916,330.9648132,263.4742737,2707.730469,186.0910492,178.2021637,206.3557281,206.2089844,518.2444458,380.1655884,366.055481
5/19/1922,321.1499939,337.7099609,328.4424133,261.989563,2576.359131,184.8040009,177.8508148,206.8470612,205.0571289,498.5385132,353.4510193,362.1569824
5/20/1922,320.1181335,336.7393188,326.0579529,261.4303284,2557.083008,184.1928711,177.8701019,206.9568634,204.4457703,477.6564331,328.858551,360.3869019
5/21/1922,319.0068665,335.681488,324.9483643,261.8772888,2578.71875,184.2664185,178.1069183,206.6479797,204.0031586,459.1770935,307.127533,360.2210999
5/22/1922,320.0711975,332.6686707,326.2241211,259.7086182,2702.334229,184.5037994,178.1163788,205.8215637,203.6497192,434.1946106,297.5591431,359.9919739
5/23/1922,320.7359314,330.4874573,326.9954224,256.9265442,2909.912842,184.5432892,178.3212738,204.8495789,203.4714355,421.9823303,291.953186,354.7097473
5/24/1922,320.8744202,328.6383057,325.4256592,253.9377899,3000.385986,184.6915588,178.5532074,203.6327972,203.3263702,430.4359741,287.8052368,350.733429
