,NDOI,smscg,tide
11/30/1923,5609,0,4.47110033
12/1/1923,5798,0,4.493599892
12/2/1923,5851,0,4.535599709
12/3/1923,5874,0,4.795599937
12/4/1923,5885,0,5.936599731
12/5/1923,5892,0,7.01240015
12/6/1923,5896,0,7.8604002
12/7/1923,5899,0,8.444499969
12/8/1923,5901,0,8.558799744
12/9/1923,5903,0,8.280399323
12/10/1923,5905,0,7.709700108
12/11/1923,5906,0,6.87130022
12/12/1923,5907,0,5.818200111
12/13/1923,5909,0,5.086900234
12/14/1923,5910,0,4.655600071
12/15/1923,5912,0,4.282299995
12/16/1923,5914,0,4.03429985
12/17/1923,5916,0,4.554900169
12/18/1923,5919,0,5.153700352
12/19/1923,5923,0,5.576600075
12/20/1923,5927,0,6.0625
12/21/1923,5932,0,6.317200184
12/22/1923,5939,0,6.610099792
12/23/1923,5949,0,6.670600414
12/24/1923,5962,0,6.653100014
12/25/1923,5981,0,6.48239994
12/26/1923,6009,0,6.054399967
12/27/1923,6054,0,5.536200047
12/28/1923,6132,0,4.878799915
12/29/1923,6285,0,4.675600052
12/30/1923,6653,0,4.475200176
12/31/1923,7949,0,4.354999542
1/1/1924,9245,0,5.35710001
1/2/1924,9613,0,6.380199909
1/3/1924,9766,0,7.348700047
1/4/1924,9844,0,8.049699783
1/5/1924,9889,0,8.374500275
1/6/1924,9917,0,8.350099564
1/7/1924,9936,0,8.073800087
1/8/1924,9950,0,7.449399948
1/9/1924,9959,0,6.48210001
1/10/1924,9967,0,5.402100086
1/11/1924,9973,0,4.777699947
1/12/1924,9978,0,4.215899944
1/13/1924,9982,0,3.705699921
1/14/1924,9985,0,3.81619978
1/15/1924,9988,0,4.269500256
1/16/1924,9991,0,4.853600025
1/17/1924,9994,0,5.419199944
1/18/1924,9997,0,5.829800129
1/19/1924,10001,0,6.318600178
1/20/1924,10005,0,6.634199619
1/21/1924,10010,0,6.770699978
1/22/1924,10015,0,6.848799706
1/23/1924,10023,0,6.603899956
1/24/1924,10034,0,6.137900352
1/25/1924,10048,0,5.440899849
1/26/1924,10070,0,4.944700241
1/27/1924,10105,0,4.552100182
1/28/1924,10164,0,4.257400036
1/29/1924,10282,0,4.932099819
1/30/1924,10563,0,5.697100163
1/31/1924,11556,0,6.451900005
2/1/1924,12513,0,7.097199917
2/2/1924,12769,0,7.51970005
2/3/1924,12872,0,7.686200142
2/4/1924,12924,0,7.625899792
2/5/1924,12954,0,7.278999805
2/6/1924,12972,0,6.602399826
2/7/1924,12984,0,5.764100075
2/8/1924,12992,0,4.878499985
2/9/1924,12998,0,4.248000145
2/10/1924,13002,0,3.663199902
2/11/1924,13005,0,3.531900167
2/12/1924,13006,0,3.64109993
2/13/1924,13008,0,3.925800323
2/14/1924,13008,0,4.354800224
2/15/1924,13008,0,4.873399734
2/16/1924,13007,0,5.449100018
2/17/1924,13006,0,5.904699802
2/18/1924,13004,0,6.263800144
2/19/1924,13000,0,6.547600269
2/20/1924,12996,0,6.546299934
2/21/1924,12990,0,6.278600216
2/22/1924,12981,0,5.628000259
2/23/1924,12968,0,5.112100124
2/24/1924,12948,0,4.781000137
2/25/1924,12915,0,4.949800014
2/26/1924,12859,0,5.120100021
2/27/1924,12746,0,5.325099945
2/28/1924,12467,0,5.611999989
2/29/1924,11421,0,5.999700069
3/1/1924,10337,1,6.322899818
3/2/1924,10030,1,6.567699909
3/3/1924,9901,1,6.608300209
3/4/1924,9836,1,6.420700073
