,NDOI,smscg,tide
6/14/1923,8273.533552,1,6.596000195
6/15/1923,8268.959669,1,6.627600193
6/16/1923,8264.976582,1,6.481699944
6/17/1923,8261.38193,1,6.414599895
6/18/1923,8257.995385,1,6.159200191
6/19/1923,8254.638843,1,5.552199841
6/20/1923,8251.114722,1,5.311100006
6/21/1923,8247.176808,1,5.181300163
6/22/1923,8242.484215,1,5.060500145
6/23/1923,8236.519695,1,5.157299995
6/24/1923,8228.430433,1,6.148099899
6/25/1923,8216.688137,1,6.976500034
6/26/1923,8198.283315,1,7.572399616
6/27/1923,8166.544135,1,8.044099808
6/28/1923,8104.049588,1,8.131000519
6/29/1923,7952.321,1,7.816699982
6/30/1923,7401.585152,1,7.12680006
7/1/1923,6840.933941,0,6.879000187
7/2/1923,6681.979688,0,6.050600052
7/3/1923,6615.71839,0,5.204200268
7/4/1923,6581.926147,0,4.691800117
7/5/1923,6562.383301,0,4.238300323
7/6/1923,6550.052444,0,3.901500225
7/7/1923,6541.747341,0,4.059500217
7/8/1923,6535.852633,0,4.567099571
7/9/1923,6531.475752,0,5.167500019
7/10/1923,6528.087946,0,5.761899948
7/11/1923,6525.356463,0,6.20359993
7/12/1923,6523.059554,0,6.642399788
7/13/1923,6521.04029,0,6.911300182
7/14/1923,6519.179706,0,6.89950037
7/15/1923,6517.379896,0,6.887599945
7/16/1923,6515.552183,0,6.558000088
7/17/1923,6513.607488,0,6.235000134
7/18/1923,6511.44688,0,5.637899876
7/19/1923,6508.950388,0,5.416899681
7/20/1923,6505.961629,0,5.083600044
7/21/1923,6502.264359,0,5.419399738
7/22/1923,6497.543977,0,5.623300076
7/23/1923,6491.320339,0,6.284399986
7/24/1923,6482.823261,0,6.924399853
7/25/1923,6470.746121,0,7.416399956
7/26/1923,6452.718198,0,7.647200108
7/27/1923,6424.057612,0,7.543699741
7/28/1923,6374.417845,0,7.08039999
7/29/1923,6277.006006,0,6.639200211
7/30/1923,6043.252801,0,6.152499676
7/31/1923,5218.705822,0,5.448200226
8/1/1923,4394.168543,0,4.757599831
8/2/1923,4160.446156,0,4.207300186
8/3/1923,4063.089158,0,3.673699856
8/4/1923,4013.53168,0,3.80850029
8/5/1923,3984.984887,0,4.090400219
8/6/1923,3967.107096,0,4.375699997
8/7/1923,3955.222227,0,4.901800156
8/8/1923,3946.966561,0,5.508500099
8/9/1923,3941.041999,0,6.134799957
8/10/1923,3936.688809,0,6.590400219
8/11/1923,3933.439779,0,6.793400288
8/12/1923,3930.996463,0,6.978500366
8/13/1923,3929.163006,0,6.742000103
8/14/1923,3927.809052,0,6.208199978
8/15/1923,3926.848282,0,5.91590023
8/16/1923,3926.225882,0,5.433700085
8/17/1923,3925.911516,0,4.949299812
8/18/1923,3925.896112,0,5.331699848
8/19/1923,3926.191796,0,5.707300186
8/20/1923,3926.835157,0,5.731499672
8/21/1923,3927.89497,0,6.162399769
8/22/1923,3929.487037,0,6.523199558
8/23/1923,3931.80175,0,6.765200138
8/24/1923,3935.156506,0,6.784999847
8/25/1923,3940.100505,0,6.534699917
8/26/1923,3947.640064,0,6.22149992
8/27/1923,3959.771894,0,5.681300163
8/28/1923,3980.91784,0,5.083799839
8/29/1923,4022.538381,0,4.591199875
8/30/1923,4122.530074,0,4.098100185
8/31/1923,4475.358673,0,3.721000195
9/1/1923,4821.939445,1,3.714600086
9/2/1923,4917.359274,1,3.803499937
9/3/1923,4956.565459,1,4.034199715
9/4/1923,4976.353149,1,4.240099907
9/5/1923,4987.676513,1,4.603499889
9/6/1923,4994.722853,1,5.176099777
9/7/1923,4999.372186,1,5.680500031
9/8/1923,5002.569305,1,6.161499977
9/9/1923,5004.830029,1,6.469200134
9/10/1923,5006.454018,1,6.390100002
9/11/1923,5007.623484,1,6.149099827
9/12/1923,5008.452556,1,5.732500076
9/13/1923,5009.013437,1,5.791199684
9/14/1923,5009.350755,1,5.925600052
9/15/1923,5009.489495,1,5.85010004
9/16/1923,5009.439061,1,5.683000088
9/17/1923,5009.194681,1,5.635799885
9/18/1923,5008.736539,1,5.496799946
9/19/1923,5008.026352,1,5.63740015
9/20/1923,5007.000378,1,5.731299877
9/21/1923,5005.556537,1,5.735599995
9/22/1923,5003.530812,1,5.653699875
9/23/1923,5000.652597,1,5.382699966
9/24/1923,4996.455336,1,4.991499901
9/25/1923,4990.083791,1,4.750299931
9/26/1923,4979.835517,1,4.656299591
9/27/1923,4961.918091,1,4.603499889
9/28/1923,4926.409708,1,4.582600117
9/29/1923,4839.982169,1,4.415800095
9/30/1923,4526.055541,1,4.235899925
10/1/1923,4206.466201,1,4.083299637
10/2/1923,4115.886319,1,4.051300049
10/3/1923,4078.171073,1,4.210700035
