,NDOI,smscg,tide,X2_DIS
4/26/1923,22939.11135,1,4.948599815,63.42259645
4/27/1923,22818.89268,1,5.346099854,63.13307376
4/28/1923,22580.43735,1,5.556299686,63.54636055
4/29/1923,21999.83905,1,6.479199886,63.81374361
4/30/1923,19890.76387,1,7.224699974,64.36012
5/1/1923,17743.56313,1,7.614200115,65.38491929
5/2/1923,17134.8101,1,7.604000092,66.168063
5/3/1923,16881.0696,1,7.530200005,67.045871
5/4/1923,16751.69541,1,7.081699848,67.07493308
5/5/1923,16676.91132,1,6.338899612,66.53124049
5/6/1923,16629.76779,1,5.487099648,66.25575715
5/7/1923,16598.0652,1,4.84319973,65.68548949
5/8/1923,16575.62079,1,4.694700241,65.0820169
5/9/1923,16559.02081,1,4.576299667,64.7280464
5/10/1923,16546.24591,1,4.380399704,65.22473058
5/11/1923,16536.02873,1,4.324100018,65.84297285
5/12/1923,16527.52882,1,4.767800331,66.30190602
5/13/1923,16520.15624,1,5.264500141,66.9995118
5/14/1923,16513.46955,1,5.493999958,67.37068643
5/15/1923,16507.11211,1,5.889200211,68.26742729
5/16/1923,16500.7683,1,5.923400402,68.87727708
5/17/1923,16494.12894,1,6.057899952,68.59981794
5/18/1923,16486.85847,1,5.844499588,68.29215679
5/19/1923,16478.55732,1,5.864599705,68.27701968
5/20/1923,16468.71121,1,5.626700401,68.65708988
5/21/1923,16456.61483,1,5.261600018,68.02776172
5/22/1923,16441.24703,1,4.807600021,67.36364905
5/23/1923,16421.05368,1,4.913500309,67.21857382
5/24/1923,16393.54564,1,5.042399883,67.13390691
5/25/1923,16354.50351,1,5.129700184,67.08779515
5/26/1923,16296.27476,1,5.411300182,67.16417745
5/27/1923,16203.74958,1,6.51570034,67.7472601
5/28/1923,16043.53965,1,7.350900173,68.79172349
5/29/1923,15729.18714,1,7.860300064,70.02069088
5/30/1923,14974.89205,1,8.147299767,70.45341815
5/31/1923,12314.20905,1,8.026800156,70.33157818
6/1/1923,9700.695565,1,7.551400185,70.52745304
6/2/1923,8981.054063,1,7.187399864,70.57318558
6/3/1923,8685.224445,1,6.249400139,70.89177961
6/4/1923,8535.731444,1,5.319700241,71.49805105
6/5/1923,8449.957972,1,4.938600063,70.97344046
6/6/1923,8396.311354,1,4.577000141,70.8953179
6/7/1923,8360.594006,1,4.330500126,70.94099584
6/8/1923,8335.656099,1,4.073500156,71.12309268
6/9/1923,8317.576844,1,4.598899841,71.92733903
6/10/1923,8304.058033,1,5.191999912,72.53149104
6/11/1923,8293.677514,1,5.610300064,73.73477602
6/12/1923,8285.513831,1,6.098700047,73.90107751
6/13/1923,8278.944857,1,6.336100101,74.80126432
6/14/1923,8273.533552,1,6.596000195,77.1975501
6/15/1923,8268.959669,1,6.627600193,78.55276927
6/16/1923,8264.976582,1,6.481699944,78.33117055
6/17/1923,8261.38193,1,6.414599895,78.44590346
6/18/1923,8257.995385,1,6.159200191,78.93015857
6/19/1923,8254.638843,1,5.552199841,79.01604978
6/20/1923,8251.114722,1,5.311100006,78.32965014
6/21/1923,8247.176808,1,5.181300163,77.84799908
6/22/1923,8242.484215,1,5.060500145,77.33299012
6/23/1923,8236.519695,1,5.157299995,78.07754571
6/24/1923,8228.430433,1,6.148099899,78.59726433
6/25/1923,8216.688137,1,6.976500034,79.67405176
6/26/1923,8198.283315,1,7.572399616,80.03163576
6/27/1923,8166.544135,1,8.044099808,80.23112122
6/28/1923,8104.049588,1,8.131000519,80.39712815
6/29/1923,7952.321,1,7.816699982,80.44625538
6/30/1923,7401.585152,1,7.12680006,80.38254786
7/1/1923,6840.933941,0,6.879000187,80.25031912
7/2/1923,6681.979688,0,6.050600052,80.13854355
7/3/1923,6615.71839,0,5.204200268,80.04911664
7/4/1923,6581.926147,0,4.691800117,80.17959917
7/5/1923,6562.383301,0,4.238300323,80.32366168
7/6/1923,6550.052444,0,3.901500225,80.52673792
7/7/1923,6541.747341,0,4.059500217,80.57393899
7/8/1923,6535.852633,0,4.567099571,80.9627522
7/9/1923,6531.475752,0,5.167500019,81.37255172
7/10/1923,6528.087946,0,5.761899948,81.706347
7/11/1923,6525.356463,0,6.20359993,82.227004
7/12/1923,6523.059554,0,6.642399788,82.71394375
7/13/1923,6521.04029,0,6.911300182,82.81062995
7/14/1923,6519.179706,0,6.89950037,82.98292152
7/15/1923,6517.379896,0,6.887599945,83.39377802
7/16/1923,6515.552183,0,6.558000088,83.5189013
7/17/1923,6513.607488,0,6.235000134,83.40513958
7/18/1923,6511.44688,0,5.637899876,83.31595829
7/19/1923,6508.950388,0,5.416899681,82.94425589
7/20/1923,6505.961629,0,5.083600044,82.70486022
7/21/1923,6502.264359,0,5.419399738,82.78622905
7/22/1923,6497.543977,0,5.623300076,82.93081056
7/23/1923,6491.320339,0,6.284399986,83.53390385
7/24/1923,6482.823261,0,6.924399853,84.04104178
7/25/1923,6470.746121,0,7.416399956,84.46731426
7/26/1923,6452.718198,0,7.647200108,84.97990051
7/27/1923,6424.057612,0,7.543699741,85.52592529
7/28/1923,6374.417845,0,7.08039999,85.69359947
7/29/1923,6277.006006,0,6.639200211,85.75962815
7/30/1923,6043.252801,0,6.152499676,85.56871135
7/31/1923,5218.705822,0,5.448200226,85.10884879
8/1/1923,4394.168543,0,4.757599831,84.5784534
8/2/1923,4160.446156,0,4.207300186,83.98181361
8/3/1923,4063.089158,0,3.673699856,83.48069977
8/4/1923,4013.53168,0,3.80850029,83.24917646
8/5/1923,3984.984887,0,4.090400219,83.67754268
8/6/1923,3967.107096,0,4.375699997,84.00774933
8/7/1923,3955.222227,0,4.901800156,84.47622299
8/8/1923,3946.966561,0,5.508500099,85.23637153
8/9/1923,3941.041999,0,6.134799957,85.78454392
8/10/1923,3936.688809,0,6.590400219,86.15485854
8/11/1923,3933.439779,0,6.793400288,86.3577613
8/12/1923,3930.996463,0,6.978500366,86.65981102
8/13/1923,3929.163006,0,6.742000103,86.89753143
8/14/1923,3927.809052,0,6.208199978,87.25515911
8/15/1923,3926.848282,0,5.91590023,87.02627583
8/16/1923,3926.225882,0,5.433700085,86.89599184
8/17/1923,3925.911516,0,4.949299812,86.89026992
8/18/1923,3925.896112,0,5.331699848,86.94062476
8/19/1923,3926.191796,0,5.707300186,86.93838209
8/20/1923,3926.835157,0,5.731499672,87.11242483
8/21/1923,3927.89497,0,6.162399769,87.49858748
8/22/1923,3929.487037,0,6.523199558,87.66231284
8/23/1923,3931.80175,0,6.765200138,87.8538204
8/24/1923,3935.156506,0,6.784999847,88.14970255
8/25/1923,3940.100505,0,6.534699917,88.75620324
8/26/1923,3947.640064,0,6.22149992,89.07726319
8/27/1923,3959.771894,0,5.681300163,88.97950916
8/28/1923,3980.91784,0,5.083799839,88.85106367
8/29/1923,4022.538381,0,4.591199875,88.4588712
8/30/1923,4122.530074,0,4.098100185,88.01108722
8/31/1923,4475.358673,0,3.721000195,87.74064197
9/1/1923,4821.939445,1,3.714600086,87.37502054
9/2/1923,4917.359274,1,3.803499937,87.09664681
9/3/1923,4956.565459,1,4.034199715,86.84474752
9/4/1923,4976.353149,1,4.240099907,86.56233515
9/5/1923,4987.676513,1,4.603499889,86.64439266
9/6/1923,4994.722853,1,5.176099777,87.00555487
9/7/1923,4999.372186,1,5.680500031,87.00166454
9/8/1923,5002.569305,1,6.161499977,86.84328681
9/9/1923,5004.830029,1,6.469200134,87.13194242
9/10/1923,5006.454018,1,6.390100002,87.42899743
9/11/1923,5007.623484,1,6.149099827,87.66494721
9/12/1923,5008.452556,1,5.732500076,88.07124039
9/13/1923,5009.013437,1,5.791199684,88.08012138
9/14/1923,5009.350755,1,5.925600052,88.03549663
9/15/1923,5009.489495,1,5.85010004,87.90296826
9/16/1923,5009.439061,1,5.683000088,87.8590579
9/17/1923,5009.194681,1,5.635799885,87.76904923
9/18/1923,5008.736539,1,5.496799946,87.27348966
9/19/1923,5008.026352,1,5.63740015,86.87428491
9/20/1923,5007.000378,1,5.731299877,86.87793463
9/21/1923,5005.556537,1,5.735599995,87.01429198
9/22/1923,5003.530812,1,5.653699875,87.37927204
9/23/1923,5000.652597,1,5.382699966,87.13673488
9/24/1923,4996.455336,1,4.991499901,86.74727714
9/25/1923,4990.083791,1,4.750299931,86.92456778
9/26/1923,4979.835517,1,4.656299591,86.17642308
9/27/1923,4961.918091,1,4.603499889,85.86594489
9/28/1923,4926.409708,1,4.582600117,85.8380453
9/29/1923,4839.982169,1,4.415800095,85.8167646
9/30/1923,4526.055541,1,4.235899925,86.17876453
10/1/1923,4206.466201,1,4.083299637,86.25859362
10/2/1923,4115.886319,1,4.051300049,85.89318824
10/3/1923,4078.171073,1,4.210700035,85.99389394
10/4/1923,4058.993368,1,4.303199768,86.2045274
10/5/1923,4047.971299,1,4.727399826,86.12197947
10/6/1923,4041.098218,1,5.162899971,86.60230778
10/7/1923,4036.56384,1,5.447800159,87.222423
10/8/1923,4033.454613,1,5.63160038,87.82051044
10/9/1923,4031.270591,1,5.694699764,88.22627423
10/10/1923,4029.721227,1,6.501200199,88.41112983
10/11/1923,4028.630287,1,6.974399567,89.03919758
10/12/1923,4027.88816,1,7.038099766,89.33392275
10/13/1923,4027.426592,1,6.904900074,89.34274171
